subject,video_set,emotion,intensity
23un4xk0,ADFES,disgust,175.0029586402206
23un4xk0,ADFES,sadness,154.50709866084685
23un4xk0,ADFES,fear,212.3316349785589
23un4xk0,ADFES,happiness,229.955226314691
23un4xk0,ADFES,neutrality,57.737452864743084
23un4xk0,JeFEE,surprise,155.9027466254904
23un4xk0,JeFEE,anger,208.89254942047037
23un4xk0,JeFEE,disgust,175.15237430464595
23un4xk0,JeFEE,sadness,206.79280139086706
23un4xk0,JeFEE,fear,220.9312848368132
23un4xk0,JeFEE,happiness,238.1589560129927
23un4xk0,JeFEE,neutrality,61.523595865045266
2bq4gp56,ADFES,surprise,238.31075720034465
2bq4gp56,ADFES,anger,220.83998176194177
2bq4gp56,ADFES,disgust,242.6656984054419
2bq4gp56,ADFES,sadness,198.73883575205764
2bq4gp56,ADFES,fear,229.84040182738153
2bq4gp56,ADFES,happiness,251.83870909929192
2bq4gp56,ADFES,neutrality,44.13957636880169
2bq4gp56,JeFEE,surprise,209.53738846038092
2bq4gp56,JeFEE,anger,195.64262580292578
2bq4gp56,JeFEE,disgust,187.17857019570428
2bq4gp56,JeFEE,sadness,140.15726110440093
2bq4gp56,JeFEE,fear,158.1130327611012
2bq4gp56,JeFEE,happiness,194.8175901859898
2bq4gp56,JeFEE,neutrality,37.27878334505691
2d7emjn8,ADFES,surprise,256.87123103520156
2d7emjn8,ADFES,anger,252.9309030740191
2d7emjn8,ADFES,disgust,247.28746928705922
2d7emjn8,ADFES,sadness,256.7258496237632
2d7emjn8,ADFES,fear,258.80135627030455
2d7emjn8,ADFES,happiness,246.91603956716008
2d7emjn8,ADFES,neutrality,19.498400892202536
2d7emjn8,JeFEE,surprise,251.87053668208785
2d7emjn8,JeFEE,anger,248.20794430899315
2d7emjn8,JeFEE,disgust,226.6846073142643
2d7emjn8,JeFEE,sadness,238.39483358097735
2d7emjn8,JeFEE,fear,216.50634349559056
2d7emjn8,JeFEE,happiness,254.7001579782682
2d7emjn8,JeFEE,neutrality,78.85759123554706
3nsxj3yf,ADFES,surprise,237.78101137484816
3nsxj3yf,ADFES,anger,245.8732445776842
3nsxj3yf,ADFES,disgust,249.28731097640312
3nsxj3yf,ADFES,sadness,252.55651867953694
3nsxj3yf,ADFES,fear,257.2772579442374
3nsxj3yf,ADFES,happiness,243.5344175067406
3nsxj3yf,ADFES,neutrality,25.843897473728994
3nsxj3yf,JeFEE,surprise,266.0599000817442
3nsxj3yf,JeFEE,anger,230.68793328600478
3nsxj3yf,JeFEE,disgust,261.18358888770797
