Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;counterbalance-nev8;checkpoint-hsvv;checkpoint-txsb;checkpoint-9u81;checkpoint-xbnd;Spreadsheet;Current Spreadsheet;Trial Number;Display;Screen;Screen ID;Screen Counter;Response Type;Response;Onset Time;Clock Time;Reaction Time;Absolute Onset Time;Absolute Clock Time;Absolute Reaction Time;Correct;Response Onset;Response Duration;Proportion;Tag;Component Name;Object Name;Object Number;Object ID;Spreadsheet: display;Manipulation: Spreadsheet
3;1685203708059;27/05/2023 16:08:28;1685210908059;2;27/05/2023 20:08:28;132490;1;task-gtxd;;29754877;e1zzm25t;8854787;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 112.0.0.0;1440x900;1440x789;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;END;;;;;;;0;;;;;;;;;;
1;1685198373299;27/05/2023 14:39:33;1685205573299;2;27/05/2023 18:39:33;132490;1;task-gtxd;;29754257;0y066rc3;8854567;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x657;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;BEGIN;;;;;;;0;;;;;;;;;;
2;1685198381217;27/05/2023 14:39:41;1685205581217;2;27/05/2023 18:39:41;132490;1;task-gtxd;;29754257;0y066rc3;8854567;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x657;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;1;Bye;Screen 1;gp16u7;1;continue;;7944.352;7932.821999999999;7944.352;7944.352;7932.821999999999;7944.352;1;7944.352;0;0;;Click To Continue;Continue Button;2;object-4;Bye;
3;1685198381219;27/05/2023 14:39:41;1685205581219;2;27/05/2023 18:39:41;132490;1;task-gtxd;;29754257;0y066rc3;8854567;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x657;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;END;;;;;;;0;;;;;;;;;;
1;1685190597547;27/05/2023 12:29:57;1685197797547;2;27/05/2023 16:29:57;132490;1;task-gtxd;;29753154;vyy6m2nm;8854265;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x625;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;BEGIN;;;;;;;0;;;;;;;;;;
2;1685190602390;27/05/2023 12:30:02;1685197802390;2;27/05/2023 16:30:02;132490;1;task-gtxd;;29753154;vyy6m2nm;8854265;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x625;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;1;Bye;Screen 1;gp16u7;1;continue;;4862.604000143051;4849.485;4862.604000143051;4862.604000143051;4849.485;4862.604000143051;1;4862.604000143051;0;0;;Click To Continue;Continue Button;2;object-4;Bye;
3;1685190602392;27/05/2023 12:30:02;1685197802392;2;27/05/2023 16:30:02;132490;1;task-gtxd;;29753154;vyy6m2nm;8854265;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x625;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;END;;;;;;;0;;;;;;;;;;
1;1685179064014;27/05/2023 09:17:44;1685186264014;2;27/05/2023 13:17:44;132490;1;task-gtxd;;29751394;9aacwa5l;8853798;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Safari 13.1.2;1440x900;1440x839;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;BEGIN;;;;;;;0;;;;;;;;;;
2;1685179083126;27/05/2023 09:18:03;1685186283126;2;27/05/2023 13:18:03;132490;1;task-gtxd;;29751394;9aacwa5l;8853798;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Safari 13.1.2;1440x900;1440x839;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;1;Bye;Screen 1;gp16u7;1;continue;;21783;21779;21783;21783;21779;21783;1;21783;0;0;;Click To Continue;Continue Button;2;object-4;Bye;
3;1685179083134;27/05/2023 09:18:03;1685186283134;2;27/05/2023 13:18:03;132490;1;task-gtxd;;29751394;9aacwa5l;8853798;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Safari 13.1.2;1440x900;1440x839;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;END;;;;;;;0;;;;;;;;;;
1;1685174036740;27/05/2023 07:53:56;1685181236740;2;27/05/2023 11:53:56;132490;1;task-gtxd;;29750928;jy2d0igb;8853742;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1536x864;1536x714;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;BEGIN;;;;;;;0;;;;;;;;;;
2;1685174043817;27/05/2023 07:54:03;1685181243817;2;27/05/2023 11:54:03;132490;1;task-gtxd;;29750928;jy2d0igb;8853742;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1536x864;1536x714;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;1;Bye;Screen 1;gp16u7;1;continue;;7112.02799999106;7098.998000000001;7112.02799999106;7112.02799999106;7098.998000000001;7112.02799999106;1;7112.02799999106;0;0;;Click To Continue;Continue Button;2;object-4;Bye;
3;1685174043821;27/05/2023 07:54:03;1685181243821;2;27/05/2023 11:54:03;132490;1;task-gtxd;;29750928;jy2d0igb;8853742;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1536x864;1536x714;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;END;;;;;;;0;;;;;;;;;;
