"ID.subject","Exp.date","Exp.trial","Exp.bloch","Pt.code","Pt.gender","Pt.study","Pt.age","Pt.group","Wheel.name","Resp.rt","Wheel.x","Wheel.y","Wheel.task","Video.name","Video.intensity","Video.gender","Video.emotion","Video.id"
"4_control","2023_Mar_24_1133",1,0,14,"m",16,23,"control","GW1",9.99197324285979,-123,-86,"task","F01-Fear-Face Forward.mp4","full","femmina","fear",1
"4_control","2023_Mar_24_1133",2,0,14,"m",16,23,"control","GW1",7.12241269706828,-17,94,"task","JM2_Anger.mp4","subtle","maschio","angry",8
"4_control","2023_Mar_24_1133",3,0,14,"m",16,23,"control","GW1",7.94548149317052,35,-139,"task","JF2_Fear.mp4","subtle","femmina","fear",6
"4_control","2023_Mar_24_1133",4,0,14,"m",16,23,"control","GW1",2.20207151017621,-164,104,"task","M02-Disgust-Face Forward.mp4","full","maschio","disgusted",3
"4_control","2023_Mar_24_1133",5,0,14,"m",16,23,"control","GW1",3.23358902464588,-27,136,"task","JM1_Anger.mp4","subtle","maschio","angry",7
"4_control","2023_Mar_24_1133",6,0,14,"m",16,23,"control","GW1",2.37623315250221,-135,26,"task","M03-Anger-Face Forward.mp4","full","maschio","angry",4
"4_control","2023_Mar_24_1133",7,0,14,"m",16,23,"control","GW1",1.94420656471084,48,-205,"task","JM2_Surprise.mp4","subtle","maschio","surprised",8
"4_control","2023_Mar_24_1133",8,0,14,"m",16,23,"control","GW1",7.63121692001641,0,0,"task","M02-Neutral-Face Forward.mp4","full","maschio","neutral",3
"4_control","2023_Mar_24_1133",9,0,14,"m",16,23,"control","GW1",2.80156115390855,126,79,"task","JM2_Happiness.mp4","subtle","maschio","happy",8
"4_control","2023_Mar_24_1133",10,0,14,"m",16,23,"control","GW1",15.4517265578343,-50,-80,"task","JF1_Anger.mp4","subtle","femmina","angry",5
"4_control","2023_Mar_24_1133",11,0,14,"m",16,23,"control","GW1",9.6384524196701,-48,78,"task","JF1_Surprise.mp4","subtle","femmina","surprised",5
"4_control","2023_Mar_24_1133",12,0,14,"m",16,23,"control","GW1",2.13240492882596,-154,107,"task","JF1_Disgust.mp4","subtle","femmina","disgusted",5
