file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,trigger,loop_practice_full.thisRepN,loop_practice_full.thisTrialN,loop_practice_full.thisN,loop_practice_full.thisIndex,loop_istr_practice.thisRepN,loop_istr_practice.thisTrialN,loop_istr_practice.thisN,loop_istr_practice.thisIndex,tuto.thisRepN,tuto.thisTrialN,tuto.thisN,tuto.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,exp_blocks.thisRepN,exp_blocks.thisTrialN,exp_blocks.thisN,exp_blocks.thisIndex,istr_1.thisRepN,istr_1.thisTrialN,istr_1.thisN,istr_1.thisIndex,istr_2.thisRepN,istr_2.thisTrialN,istr_2.thisN,istr_2.thisIndex,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,img_tutorial.started,key_resp.started,p_port.started,mov_target.started,p_port.stopped,p_port_2.started,primary.started,img_primary_wheel.started,click_1.started,p_port_2.stopped,primary.x,primary.y,primary.leftButton,primary.midButton,primary.rightButton,primary.time,primary.clicked_name,p_port_4.started,txt_iwi.started,p_port_4.stopped,txt_iwi.stopped,img_secondary_wheel.started,click_2.started,primary_pos.started,p_port_3.started,p_port_3.stopped,secondary.started,secondary.x,secondary.y,secondary.leftButton,secondary.midButton,secondary.rightButton,secondary.time,secondary.clicked_name,p_port_5.started,p_port_5.stopped,kb_end_practice.keys,kb_end_practice.rt,participant,session,group,age,sex,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/02.subtle/JM2_Disgust.mp4,disgusted,subtle,maschio,8,10,1646,926,12,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,0,0,11,,,0.13810409998404793,1341.1590075999848,0.1452415999956429,0.000742000003810972,0.000742000003810972,1351.7392034000077,1351.7392034000077,0.016350100020645186,-79.0,113.0,1,0,0,3.329758700012462,'click_1',1.4400022337213159e-05,1355.0698120000015,0.01518810002016835,,1355.5716321000073,1355.5716321000073,1355.5716321000073,0.0010483000078238547,0.017031299998052418,0.0010483000078238547,-103.0,19.0,1,0,0,1.739823100011563,'click_2',1.4600023860111833e-05,0.015169400023296475,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/02.subtle/JM1_Anger.mp4,angry,subtle,maschio,7,10,1646,926,7,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,1,1,6,,,0.13329920000978746,1358.9372869000072,0.14060250000329688,0.0007569000008516014,0.0007569000008516014,1369.3161263999937,1369.3161263999937,0.016403299989178777,-37.0,199.0,1,0,0,1.4723997999972198,'click_1',1.3999990187585354e-05,1370.7890983999823,0.015396000002510846,,1371.2911072999996,1371.2911072999996,1371.2911072999996,0.001784899999620393,0.017398199997842312,0.001784899999620393,-82.0,-52.0,1,0,0,2.692938799998956,'click_2',1.4199991710484028e-05,0.015402899996843189,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/02.subtle/JM2_Anger.mp4,angry,subtle,maschio,8,10,1646,926,8,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,2,2,7,,,0.1325792999996338,1375.6091586999828,0.13985939999110997,0.0007048999832477421,0.0007048999832477421,1386.5562582999992,1386.5562582999992,0.01646379998419434,-21.0,133.0,1,0,0,4.332543299999088,'click_1',1.4699995517730713e-05,1390.8894128999964,0.015609800000675023,,1391.3911591999931,1391.3911591999931,1391.3911591999931,0.0015854999946895987,0.017375800001900643,0.0015854999946895987,-15.0,96.0,1,0,0,3.31258239998715,'click_2',1.3899989426136017e-05,0.01562669998384081,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/01.full/M02-Sadness-Face Forward.mp4,sad,full,maschio,3,6,720,576,47,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,3,3,46,,,0.13117949999286793,1396.3273505999823,0.13855010000406764,0.0007091999868862331,0.0007091999868862331,1401.9406631999882,1401.9406631999882,0.016413999983342364,-79.0,-116.0,1,0,0,2.7771228000056,'click_1',1.5700003132224083e-05,1404.7185229999886,0.015571199997793883,,1405.2205048000033,1405.2205048000033,1405.2205048000033,0.0016101000073831528,0.017516399995656684,0.0016101000073831528,1.0,-2.0,1,0,0,1.6558168999908958,'click_2',1.3900018529966474e-05,0.015502399997785687,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/02.subtle/JM1_Surprise.mp4,surprised,subtle,maschio,7,10,1646,926,23,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,4,4,22,,,0.13207610000972636,1408.500556599989,0.13932780001778156,0.0007152000034693629,0.0007152000034693629,1418.880303199985,1418.880303199985,0.016546300001209602,17.0,-93.0,1,0,0,1.9408985000045504,'click_1',1.4299992471933365e-05,1420.8218214999943,0.01569169998401776,,1421.323534700001,1421.323534700001,1421.323534700001,0.0013552999880630523,0.01741459997720085,0.0013552999880630523,11.0,-62.0,1,0,0,6.407306499982951,'click_2',1.37000170070678e-05,0.015501599991694093,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/02.subtle/JM2_Sadness.mp4,sad,subtle,maschio,8,10,1646,926,20,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,5,5,19,,,0.1335354000038933,1429.356512600003,0.14094099999056198,0.0007239000115077943,0.0007239000115077943,1439.9351145999972,1439.9351145999972,0.016406600014306605,-164.0,-102.0,1,0,0,3.0279185000108555,'click_1',1.4399993233382702e-05,1442.9637726999936,0.015653399983420968,,1443.4654344999872,1443.4654344999872,1443.4654344999872,0.0014661999884992838,0.017342799983453006,0.0014661999884992838,-52.0,82.0,1,0,0,1.7236899999843445,'click_2',1.3999990187585354e-05,0.015634299983503297,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/01.full/F03-Neutral-Face Forward.mp4,neutral,full,femmina,2,6,720,576,54,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,6,6,53,,,0.1315234999929089,1446.8129345999914,0.1388907999789808,0.0007144999981392175,0.0007144999981392175,1452.7927353999985,1452.7927353999985,0.016580999974394217,0.0,2.0,1,0,0,0.5513762999908067,'click_1',1.4499993994832039e-05,1453.3445781999908,0.01559669998823665,,1453.846347899991,1453.846347899991,1453.846347899991,0.001483400003053248,0.01736279999022372,0.001483400003053248,0.0,0.0,1,0,0,0.3677902999916114,'click_2',1.7300015315413475e-05,0.01557759998831898,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
stimoli/01.full/F01-Fear-Face Forward.mp4,fear,full,femmina,1,6,720,576,29,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,7,7,28,,,0.13128649999271147,1455.8377419000026,0.13865929999155924,0.0007221999985631555,0.0007221999985631555,1461.8181568,1461.8181568,0.01650950001203455,-77.0,-119.0,1,0,0,1.8902146000182256,'click_1',1.750001683831215e-05,1463.7088744000066,0.015518500003963709,,1464.2108025999914,1464.2108025999914,1464.2108025999914,0.001505899999756366,0.01743100001476705,0.001505899999756366,-103.0,-18.0,1,0,0,2.174937300005695,'click_2',1.400001929141581e-05,0.01558070001192391,,,12,001,control,22,m,13,1,ila ale,2024-03-07_13h12.15.014,CPO_EEG,2022.2.1,59.89171577608033,
