file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,trigger,loop_practice_full.thisRepN,loop_practice_full.thisTrialN,loop_practice_full.thisN,loop_practice_full.thisIndex,loop_istr_practice.thisRepN,loop_istr_practice.thisTrialN,loop_istr_practice.thisN,loop_istr_practice.thisIndex,tuto.thisRepN,tuto.thisTrialN,tuto.thisN,tuto.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,exp_blocks.thisRepN,exp_blocks.thisTrialN,exp_blocks.thisN,exp_blocks.thisIndex,istr_1.thisRepN,istr_1.thisTrialN,istr_1.thisN,istr_1.thisIndex,istr_2.thisRepN,istr_2.thisTrialN,istr_2.thisN,istr_2.thisIndex,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,img_tutorial.started,key_resp.started,p_port.started,mov_target.started,p_port.stopped,p_port_2.started,primary.started,img_primary_wheel.started,click_1.started,p_port_2.stopped,primary.x,primary.y,primary.leftButton,primary.midButton,primary.rightButton,primary.time,primary.clicked_name,p_port_4.started,txt_iwi.started,p_port_4.stopped,p_port_3.started,secondary.started,img_secondary_wheel.started,click_2.started,primary_pos.started,p_port_3.stopped,secondary.x,secondary.y,secondary.leftButton,secondary.midButton,secondary.rightButton,secondary.time,secondary.clicked_name,p_port_5.started,p_port_5.stopped,kb_end_practice.keys,kb_end_practice.rt,txt_iwi.stopped,participant,session,group,age,sex,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
stimoli/01.full/F03-Anger-Face Forward.mp4,angry,full,femmina,2,6,720,576,34,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,33,,,0.1363023999147117,324.67552960000467,0.14359009999316186,0.0006918000290170312,0.0006918000290170312,330.65175740001723,330.65175740001723,0.01646090007852763,-24.0,150.0,1,0,0,2.609257399919443,'click_1',1.379998866468668e-05,333.2615525999572,0.01544270000886172,0.001289700041525066,0.001289700041525066,333.7633484000107,333.7633484000107,333.7633484000107,0.017282300046645105,-112.0,82.0,1,0,0,3.830656999954954,'click_2',1.3999990187585354e-05,0.015563799999654293,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/01.full/F01-Joy-Face Forward.mp4,happy,full,femmina,1,6,720,576,41,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,40,,,0.13644289993681014,339.22250969999004,0.14372369996272027,0.0007534000324085355,0.0007534000324085355,345.1991134999553,345.1991134999553,0.01651560002937913,194.0,38.0,1,0,0,4.215030100080185,'click_1',1.3399985618889332e-05,349.415070499992,0.015839400002732873,0.0015156000154092908,0.0015156000154092908,349.91675340000074,349.91675340000074,349.91675340000074,0.017524200025945902,149.0,-34.0,1,0,0,6.306804100051522,'click_2',1.4299992471933365e-05,0.015567800030112267,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/02.subtle/JF1_Surprise.mp4,surprised,subtle,femmina,5,10,1646,926,21,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,20,,,0.1396019000094384,357.85531829996035,0.14690349996089935,0.0007068000268191099,0.0007068000268191099,368.62992029997986,368.62992029997986,0.016455600038170815,42.0,-203.0,1,0,0,3.2445456000277773,'click_1',1.4899997040629387e-05,371.87509740004316,0.01554230006877333,0.0014702000189572573,0.0014702000189572573,372.37692429998424,372.37692429998424,372.37692429998424,0.017413800000213087,41.0,-196.0,1,0,0,4.499977599945851,'click_2',1.3599987141788006e-05,0.015526799950748682,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/01.full/M03-Anger-Face Forward.mp4,angry,full,maschio,4,6,720,576,36,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,35,,,0.13693709997460246,378.50624449993484,0.14437429991085082,0.00072160002309829,0.00072160002309829,384.4813226000406,384.4813226000406,0.0163801999296993,-24.0,147.0,1,0,0,2.7096481999615207,'click_1',1.4699995517730713e-05,387.1916824999498,0.015501199988648295,0.0013541000662371516,0.0013541000662371516,387.6934782000026,387.6934782000026,387.6934782000026,0.017335499986074865,-28.0,140.0,1,0,0,4.4159251999808475,'click_2',1.71000137925148e-05,0.015705600031651556,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/01.full/M02-Surprise-Face Forward.mp4,surprised,full,maschio,3,6,720,576,51,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,50,,,0.13604270003270358,393.7375171999447,0.1432805999647826,0.0007533000316470861,0.0007533000316470861,399.71462340001017,399.71462340001017,0.016372499987483025,48.0,-205.0,1,0,0,3.3781069999095052,'click_1',1.5199999324977398e-05,403.093603999936,0.01551840000320226,0.0015858999686315656,0.0015858999686315656,403.59572340000886,403.59572340000886,403.59572340000886,0.017644900013692677,37.0,-196.0,1,0,0,6.858249000040814,'click_2',1.3699987903237343e-05,0.015668699983507395,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/02.subtle/JF1_Sadness.mp4,sad,subtle,femmina,5,10,1646,926,17,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,16,,,0.13887300004716963,412.08489439997356,0.14610030001495034,0.0007415999425575137,0.0007415999425575137,422.859483200009,422.859483200009,0.01656279992312193,-37.0,-188.0,1,0,0,5.336688200011849,'click_1',1.3599987141788006e-05,428.196710200049,0.015553600038401783,0.0014396000187844038,0.0014396000187844038,428.69852179999,428.69852179999,428.69852179999,0.01735880004707724,-42.0,-195.0,1,0,0,6.206589399953373,'click_2',1.4199991710484028e-05,0.015396400005556643,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/01.full/M03-Joy-Face Forward.mp4,happy,full,maschio,4,6,720,576,44,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,43,,,0.136341999983415,436.5336249000393,0.14361040003132075,0.000714799971319735,0.000714799971319735,442.50911610003095,442.50911610003095,0.016489600064232945,86.0,127.0,1,0,0,10.826332099968567,'click_1',1.3999990187585354e-05,453.33599009993486,0.015490600024349988,0.001647600089199841,0.001647600089199841,453.8381314999424,453.8381314999424,453.8381314999424,0.017643700004555285,125.0,-22.0,1,0,0,4.734329700004309,'click_2',1.379998866468668e-05,0.015445100027136505,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/02.subtle/JM2_Disgust.mp4,disgusted,subtle,maschio,8,10,1646,926,12,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,9,9,11,,,0.13901149993762374,460.20347259996925,0.14620019996073097,0.0007194000063464046,0.0007194000063464046,470.77773950004485,470.77773950004485,0.016388899995945394,-106.0,83.0,1,0,0,2.7600506000453606,'click_1',1.3999990187585354e-05,473.53834410000127,0.015399600029923022,0.0013122999807819724,0.0013122999807819724,474.04007220000494,474.04007220000494,474.04007220000494,0.01713200006633997,-54.0,87.0,1,0,0,3.4287833999842405,'click_2',1.379998866468668e-05,0.015518100000917912,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/02.subtle/JM1_Anger.mp4,angry,subtle,maschio,7,10,1646,926,7,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,10,10,6,,,0.1377618999686092,479.09889569994994,0.1450561999808997,0.000682600075379014,0.000682600075379014,489.47306929994375,489.47306929994375,0.01645500003360212,-29.0,143.0,1,0,0,2.692570500075817,'click_1',1.4300108887255192e-05,492.16612259997055,0.015485000098124146,0.0015536000719293952,0.0015536000719293952,492.66810390003957,492.66810390003957,492.66810390003957,0.017495900043286383,-76.0,121.0,1,0,0,2.4590814999537542,'click_2',1.3899989426136017e-05,0.015567499911412597,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
stimoli/02.subtle/JF1_Happiness.mp4,happy,subtle,femmina,5,10,1646,926,13,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,11,11,12,,,0.13909499999135733,496.7581698000431,0.14608349988702685,0.0007321999873965979,0.0007321999873965979,507.5331349000335,507.5331349000335,0.016375700011849403,204.0,42.0,1,0,0,3.8474275999469683,'click_1',1.4699995517730713e-05,511.38117639999837,0.015495599946007133,0.0011857999488711357,0.0011857999488711357,511.8828459000215,511.8828459000215,511.8828459000215,0.01717909995932132,177.0,108.0,1,0,0,1.9073443999513984,'click_2',1.3899989426136017e-05,0.01556870003696531,,,,15_ctrl,001,control,39,f,14,1,ari,2024-02-09_17h44.19.970,CPO_EEG,2022.2.1,58.53913251683247,
