file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,trigger,loop_practice_full.thisRepN,loop_practice_full.thisTrialN,loop_practice_full.thisN,loop_practice_full.thisIndex,loop_istr_practice.thisRepN,loop_istr_practice.thisTrialN,loop_istr_practice.thisN,loop_istr_practice.thisIndex,tuto.thisRepN,tuto.thisTrialN,tuto.thisN,tuto.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,exp_blocks.thisRepN,exp_blocks.thisTrialN,exp_blocks.thisN,exp_blocks.thisIndex,istr_1.thisRepN,istr_1.thisTrialN,istr_1.thisN,istr_1.thisIndex,istr_2.thisRepN,istr_2.thisTrialN,istr_2.thisN,istr_2.thisIndex,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,img_tutorial.started,key_resp.started,p_port.started,mov_target.started,p_port.stopped,p_port_2.started,primary.started,img_primary_wheel.started,click_1.started,p_port_2.stopped,primary.x,primary.y,primary.leftButton,primary.midButton,primary.rightButton,primary.time,primary.clicked_name,p_port_4.started,txt_iwi.started,p_port_4.stopped,txt_iwi.stopped,p_port_3.started,secondary.started,img_secondary_wheel.started,click_2.started,primary_pos.started,p_port_3.stopped,secondary.x,secondary.y,secondary.leftButton,secondary.midButton,secondary.rightButton,secondary.time,secondary.clicked_name,p_port_5.started,p_port_5.stopped,kb_end_practice.keys,kb_end_practice.rt,participant,session,group,age,sex,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
stimoli/02.subtle/JM2_Disgust.mp4,disgusted,subtle,maschio,8,10,1646,926,12,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,30,30,11,,,0.1493608999880962,806.3058367000194,0.15657230000942945,0.0007057000184431672,0.0007057000184431672,816.8578889000346,816.8578889000346,0.009701800008770078,-121.0,83.0,1,0,0,2.1512393000302836,'click_1',1.460005296394229e-05,819.0097024000133,0.00872370001161471,,0.0021996000432409346,0.0021996000432409346,819.5124932000181,819.5124932000181,819.5124932000181,0.011542599997483194,-82.0,124.0,1,0,0,2.2823270999942906,'click_2',1.4199991710484028e-05,0.008921400003600866,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
stimoli/02.subtle/JF2_Fear.mp4,fear,subtle,femmina,6,10,1646,926,2,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,31,31,1,,,0.15329270000802353,823.4469104000018,0.16069559997413307,0.0006828000186942518,0.0006828000186942518,833.7950841999846,833.7950841999846,0.009774400037713349,31.0,-145.0,1,0,0,3.2981227000127546,'click_1',2.0099978428333998e-05,837.0937251999858,0.008701899962034076,,0.002193799999076873,0.002193799999076873,837.596495500009,837.596495500009,837.596495500009,0.011459900008048862,-87.0,-116.0,1,0,0,1.135883199982345,'click_2',1.3999990187585354e-05,0.008690699993167073,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
stimoli/01.full/F01-Neutral-Face Forward.mp4,neutral,full,femmina,1,6,720,576,53,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,32,32,52,,,0.14799460000358522,840.3793511000113,0.15534860000479966,0.0007126000127755105,0.0007126000127755105,846.3275326000294,846.3275326000294,0.009834099968429655,-22.0,94.0,1,0,0,2.432287300005555,'click_1',1.4199991710484028e-05,848.7604503000039,0.009009100031107664,,0.0024640000192448497,0.0024640000192448497,849.2632341000135,849.2632341000135,849.2632341000135,0.011797900020610541,-56.0,78.0,1,0,0,3.7604527000221424,'click_2',1.4300050679594278e-05,0.008945700014010072,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
stimoli/02.subtle/JF2_Anger.mp4,angry,subtle,femmina,6,9,1646,926,6,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,33,33,5,,,0.15326280001318082,854.6755994000123,0.16048600000794977,0.0007989000296220183,0.0007989000296220183,864.1086730000097,864.1086730000097,0.009678800008259714,-13.0,100.0,1,0,0,1.7085605000029318,'click_1',1.4599994756281376e-05,865.8180334999925,0.008945400011725724,,0.002362400002311915,0.002362400002311915,866.3207837000373,866.3207837000373,866.3207837000373,0.011695599998347461,-82.0,50.0,1,0,0,2.9666390999918804,'click_2',1.4199991710484028e-05,0.008808499958831817,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
stimoli/02.subtle/JM2_Fear.mp4,fear,subtle,maschio,8,10,1646,926,4,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,34,34,3,,,0.1508529999991879,870.9368943999871,0.1580046999733895,0.0006983999628573656,0.0006983999628573656,881.4871808000025,881.4871808000025,0.009722099988721311,40.0,-136.0,1,0,0,3.4485085000051185,'click_1',1.4999997802078724e-05,884.9362906999886,0.008868300006724894,,0.002421200042590499,0.002421200042590499,885.4391440000036,885.4391440000036,885.4391440000036,0.011717599991243333,113.0,-14.0,1,0,0,1.4185203000088222,'click_2',1.3899989426136017e-05,0.007734599988907576,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
stimoli/01.full/M02-Fear-Face Forward.mp4,fear,full,maschio,3,6,720,576,31,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,35,35,30,,,0.14236549998167902,888.4990534000099,0.14984679996268824,0.0007893999572843313,0.0007893999572843313,894.4517416000017,894.4517416000017,0.009887999971397221,28.0,-139.0,1,0,0,1.9405713999876752,'click_1',1.4800054486840963e-05,896.3928539000335,0.008883400005288422,,0.0021848000469617546,0.0021848000469617546,896.8954453000333,896.8954453000333,896.8954453000333,0.011480400047730654,-71.0,-113.0,1,0,0,1.729369000007864,'click_2',1.4099990949034691e-05,0.008871499972883612,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
stimoli/01.full/F01-Disgust-Face Forward.mp4,disgusted,full,femmina,1,6,720,576,37,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,36,36,36,,,0.1458608999964781,900.2694368000375,0.15313099999912083,0.0008891000179573894,0.0008891000179573894,906.2205637000152,906.2205637000152,0.009693300002254546,-165.0,102.0,1,0,0,1.839427099970635,'click_1',1.5700003132224083e-05,908.0608976000221,0.008888299984391779,,0.00247440004022792,0.00247440004022792,908.5636956000235,908.5636956000235,908.5636956000235,0.011733299994375557,-164.0,104.0,1,0,0,2.9559625000110827,'click_2',1.4199991710484028e-05,0.008951099996920675,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
stimoli/02.subtle/JM2_Neutral.mp4,neutral,subtle,maschio,8,10,1646,926,28,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,37,37,27,,,0.14431689999764785,913.1628537999932,0.1516822999692522,0.0007100999937392771,0.0007100999937392771,924.0715483000386,924.0715483000386,0.009815400000661612,90.0,16.0,1,0,0,2.6945976999704726,'click_1',1.7700018361210823e-05,926.7666893000132,0.008801900024991482,,0.0023710000095888972,0.0023710000095888972,927.2698379000067,927.2698379000067,927.2698379000067,0.012063700007274747,89.0,16.0,1,0,0,2.493130899965763,'click_2',1.4199991710484028e-05,0.00911319995066151,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
stimoli/01.full/M03-Anger-Face Forward.mp4,angry,full,maschio,4,6,720,576,36,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,38,38,35,,,0.14622179995058104,931.4077677000314,0.15360439999494702,0.0007208000170066953,0.0007208000170066953,937.358389400004,937.358389400004,0.009772000019438565,-18.0,148.0,1,0,0,2.2620880999602377,'click_1',1.5400000847876072e-05,939.6212386999978,0.00901859998703003,,0.0024756999919191003,0.0024756999919191003,940.1240507999901,940.1240507999901,940.1240507999901,0.011821299965959042,-21.0,146.0,1,0,0,2.0612211999832653,'click_2',1.3899989426136017e-05,0.009092699969187379,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
stimoli/01.full/M02-Neutral-Face Forward.mp4,neutral,full,maschio,3,6,720,576,55,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,39,39,54,,,0.14559099997859448,943.8297714000219,0.15307469997787848,0.0008057999657467008,0.0008057999657467008,949.7810204999987,949.7810204999987,0.009853399998974055,2.0,46.0,1,0,0,3.8913190999883227,'click_1',1.4999997802078724e-05,953.6729323000181,0.008829200000036508,,0.002261199988424778,0.002261199988424778,954.1757195999962,954.1757195999962,954.1757195999962,0.011631799978204072,-6.0,-3.0,1,0,0,1.538109200017061,'click_2',1.799996243789792e-05,0.008809699967969209,,,13,001,control_mbs,25,f,18,1,ale_ila,2024-04-22_17h08.40.556,CPO_EEG,2022.2.1,99.82719910415807,
