file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,trigger,loop_practice_full.thisRepN,loop_practice_full.thisTrialN,loop_practice_full.thisN,loop_practice_full.thisIndex,loop_istr_practice.thisRepN,loop_istr_practice.thisTrialN,loop_istr_practice.thisN,loop_istr_practice.thisIndex,tuto.thisRepN,tuto.thisTrialN,tuto.thisN,tuto.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,exp_blocks.thisRepN,exp_blocks.thisTrialN,exp_blocks.thisN,exp_blocks.thisIndex,istr_1.thisRepN,istr_1.thisTrialN,istr_1.thisN,istr_1.thisIndex,istr_2.thisRepN,istr_2.thisTrialN,istr_2.thisN,istr_2.thisIndex,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,img_tutorial.started,key_resp.started,p_port.started,mov_target.started,p_port.stopped,p_port_2.started,primary.started,img_primary_wheel.started,click_1.started,p_port_2.stopped,primary.x,primary.y,primary.leftButton,primary.midButton,primary.rightButton,primary.time,primary.clicked_name,p_port_4.started,txt_iwi.started,p_port_4.stopped,txt_iwi.stopped,img_secondary_wheel.started,click_2.started,primary_pos.started,p_port_3.started,p_port_3.stopped,secondary.started,img_secondary_wheel.stopped,click_2.stopped,primary_pos.stopped,secondary.stopped,secondary.x,secondary.y,secondary.leftButton,secondary.midButton,secondary.rightButton,secondary.time,secondary.clicked_name,p_port_5.started,p_port_5.stopped,kb_end_practice.keys,kb_end_practice.rt,primary.stopped,img_primary_wheel.stopped,click_1.stopped,participant,session,group,age,sex,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
stimoli/02.subtle/JF2_Anger.mp4,angry,subtle,femmina,6,9,1646,926,6,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,38,38,5,,,0.14192410000032396,1321.1188621000006,0.14924119999977847,0.0007019000004220288,0.0007019000004220288,1330.570381,1330.570381,0.016496400000505673,-28.0,142.0,1,0,0,4.9347797000000355,'click_1',1.2999999853491317e-05,1335.5058175999998,0.01565559999926336,,1336.0074953999997,1336.0074953999997,1336.0074953999997,0.0015333999999711523,0.017349099999592,0.0015333999999711523,,,,,-9.0,-68.0,1,0,0,1.7062155999992683,'click_2',1.4000000192027073e-05,0.015463799999452021,,,,,,14_moebius_task,001,moebius,22,m,16,1,ari e sara,2024-01-19_13h33.18.738,CPO_EEG,2022.2.1,59.87640312866482,
stimoli/01.full/F01-Disgust-Face Forward.mp4,disgusted,full,femmina,1,6,720,576,37,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,39,39,36,,,0.1370123999995485,1339.3432411999997,0.1445077999997011,0.0006877999994685524,0.0006877999994685524,1345.3195382,1345.3195382,0.016313899999659043,-122.0,81.0,1,0,0,6.072258899999724,'click_1',1.2999999853491317e-05,1351.3924165000003,0.015490300000237767,,1351.8945848999997,1351.8945848999997,1351.8945848999997,0.0015481999998883111,0.017647200000283192,0.0015481999998883111,,,,,-16.0,100.0,1,0,0,2.5596120000000155,'click_2',1.2800000149582047e-05,0.015683000000535685,,,,,,14_moebius_task,001,moebius,22,m,16,1,ari e sara,2024-01-19_13h33.18.738,CPO_EEG,2022.2.1,59.87640312866482,
stimoli/02.subtle/JM2_Happiness.mp4,happy,subtle,maschio,8,10,1646,926,16,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,40,40,15,,,0.14764459999969404,1356.0938689,0.15500359999987268,0.0007342999997490551,0.0007342999997490551,1366.6791709000004,1366.6791709000004,0.016327999999703025,65.0,46.0,1,0,0,6.776366600000074,'click_1',1.3099999705445953e-05,1373.4552641000005,0.014513999999508087,1373.9571154999999,1373.9571154999999,1373.9571154999999,1373.9571154999999,0.0007671000003028894,0.01640080000015587,0.0007671000003028894,,,,,0.0,0.0,1,0,0,7.024822500000482,'click_2',1.3299999409355223e-05,0.01584790000015346,,,,,,14_moebius_task,001,moebius,22,m,16,1,ari e sara,2024-01-19_13h33.18.738,CPO_EEG,2022.2.1,59.87640312866482,
stimoli/02.subtle/JM2_Fear.mp4,fear,subtle,maschio,8,10,1646,926,4,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,41,41,3,,,0.13863320000018575,1382.6126648000004,0.14554140000018378,0.0006545999995068996,0.0006545999995068996,1393.1873148999998,1393.1873148999998,0.016430599999694095,-28.0,-138.0,1,0,0,9.183950599999662,'click_1',1.359999987471383e-05,1402.3719516000006,0.015655499999411404,,1402.8739405000001,1402.8739405000001,1402.8739405000001,0.0017220999998244224,0.017659199999798147,0.0017220999998244224,,,,,-65.0,-13.0,1,0,0,17.95270419999997,'click_2',1.4899999769113492e-05,0.015608200000315264,,,,,,14_moebius_task,001,moebius,22,m,16,1,ari e sara,2024-01-19_13h33.18.738,CPO_EEG,2022.2.1,59.87640312866482,
stimoli/02.subtle/JF2_Fear.mp4,fear,subtle,femmina,6,10,1646,926,2,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,42,42,1,,,0.1406181000002107,1422.4594259,0.14794739999979356,0.0007378999998763902,0.0007378999998763902,1432.8308219000005,1432.8308219000005,0.01654170000074373,-10.0,65.0,1,0,0,8.31384160000016,'click_1',1.4100000043981709e-05,1441.1452677000002,0.015555299999505223,,1441.6472375999997,1441.6472375999997,1441.6472375999997,0.0014420999996218598,0.017523099999380065,0.0014420999996218598,,,,,-35.0,52.0,1,0,0,2.743258600000445,'click_2',1.4100000043981709e-05,0.015843600000152946,,,,,,14_moebius_task,001,moebius,22,m,16,1,ari e sara,2024-01-19_13h33.18.738,CPO_EEG,2022.2.1,59.87640312866482,
stimoli/01.full/M03-Joy-Face Forward.mp4,happy,full,maschio,4,6,720,576,44,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,43,43,43,,,0.13750610000079178,1446.0200727000006,0.14487450000069657,0.0006964000003790716,0.0006964000003790716,1451.9959251000005,1451.9959251000005,0.016399600000113423,147.0,97.0,1,0,0,4.885495100000298,'click_1',1.3699999726668466e-05,1456.8819291000004,0.015277099999366328,,1457.3836130000004,1457.3836130000004,1457.3836130000004,0.000943399999414396,0.01699209999969753,0.000943399999414396,,,,,45.0,62.0,1,0,0,8.414073899999494,'click_2',1.3699999726668466e-05,0.01582620000044699,,,,,,14_moebius_task,001,moebius,22,m,16,1,ari e sara,2024-01-19_13h33.18.738,CPO_EEG,2022.2.1,59.87640312866482,
stimoli/02.subtle/JF2_Sadness.mp4,sad,subtle,femmina,6,8,1646,926,18,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,44,44,17,,,0.14164880000043922,1467.4313966000004,0.14893949999986944,0.0007360999998127227,0.0007360999998127227,1475.7789398999998,1475.7789398999998,0.016304300000228977,-29.0,-140.0,1,0,0,7.66218949999984,'click_1',1.2900000001536682e-05,1483.4419778000006,0.01558279999972001,,1483.9440447000002,1483.9440447000002,1483.9440447000002,0.0018096999992849305,0.0176499999997759,0.0018096999992849305,,,,,-32.0,51.0,1,0,0,2.0405430999999226,'click_2',1.3500000022759195e-05,0.015593799999805924,,,,,,14_moebius_task,001,moebius,22,m,16,1,ari e sara,2024-01-19_13h33.18.738,CPO_EEG,2022.2.1,59.87640312866482,
stimoli/02.subtle/JF1_Surprise.mp4,surprised,subtle,femmina,5,10,1646,926,21,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,45,45,20,,,0.14061219999985042,1487.6174953000004,0.14794309999979305,0.0007355000007009949,0.0007355000007009949,1498.3905098,1498.3905098,0.01650300000073912,28.0,-143.0,1,0,0,7.71225510000022,'click_1',1.3099999705445953e-05,1506.1036545000002,0.01585929999964719,,1506.6054570000001,1506.6054570000001,1506.6054570000001,0.0018629999995027902,0.017657800000051793,0.0018629999995027902,,,,,69.0,-98.0,1,0,0,2.2416433999997025,'click_2',1.320000046689529e-05,0.015545700000075158,,,,,,14_moebius_task,001,moebius,22,m,16,1,ari e sara,2024-01-19_13h33.18.738,CPO_EEG,2022.2.1,59.87640312866482,
stimoli/01.full/F03-Fear-Face Forward.mp4,fear,full,femmina,2,6,720,576,30,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,46,46,29,,,0.13792210000065097,1510.4774927000003,0.14533120000032795,0.0006972000001042034,0.0006972000001042034,1516.4539537000005,1516.4539537000005,0.01650900000004185,35.0,-162.0,1,0,0,10.037781899999572,'click_1',1.3099999705445953e-05,1526.4921150000005,0.015443899999809219,,1526.9939102000003,1526.9939102000003,1526.9939102000003,0.0014125999996394967,0.01724689999991824,0.0014125999996394967,,,,,-93.0,-140.0,1,0,0,3.3622770000001765,'click_2',1.340000017080456e-05,0.015346199999839882,,,,,,14_moebius_task,001,moebius,22,m,16,1,ari e sara,2024-01-19_13h33.18.738,CPO_EEG,2022.2.1,59.87640312866482,
stimoli/02.subtle/JF2_Neutral.mp4,neutral,subtle,femmina,6,9,1646,926,26,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,47,47,25,,,0.14275439999983064,1531.9915197000005,0.15029169999979786,0.0006770999998479965,0.0006770999998479965,1541.4434038000004,1541.4434038000004,0.016429100000095787,0.0,0.0,1,0,0,2.742885500000739,'click_1',1.3300000318849925e-05,1544.1868854999998,0.015549100000498584,,1544.6886749,1544.6886749,1544.6886749,0.0013471000002027722,0.017370300000038696,0.0013471000002027722,,,,,0.0,0.0,1,0,0,0.28391999999985273,'click_2',1.2999999853491317e-05,0.015426199999637902,,,,,,14_moebius_task,001,moebius,22,m,16,1,ari e sara,2024-01-19_13h33.18.738,CPO_EEG,2022.2.1,59.87640312866482,
