file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,trigger,loop_practice_full.thisRepN,loop_practice_full.thisTrialN,loop_practice_full.thisN,loop_practice_full.thisIndex,loop_istr_practice.thisRepN,loop_istr_practice.thisTrialN,loop_istr_practice.thisN,loop_istr_practice.thisIndex,tuto.thisRepN,tuto.thisTrialN,tuto.thisN,tuto.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,exp_blocks.thisRepN,exp_blocks.thisTrialN,exp_blocks.thisN,exp_blocks.thisIndex,istr_1.thisRepN,istr_1.thisTrialN,istr_1.thisN,istr_1.thisIndex,istr_2.thisRepN,istr_2.thisTrialN,istr_2.thisN,istr_2.thisIndex,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,img_tutorial.started,key_resp.started,p_port.started,mov_target.started,p_port.stopped,p_port_2.started,primary.started,img_primary_wheel.started,click_1.started,p_port_2.stopped,primary.x,primary.y,primary.leftButton,primary.midButton,primary.rightButton,primary.time,primary.clicked_name,p_port_4.started,txt_iwi.started,p_port_4.stopped,txt_iwi.stopped,p_port_3.started,secondary.started,img_secondary_wheel.started,click_2.started,primary_pos.started,p_port_3.stopped,secondary.x,secondary.y,secondary.leftButton,secondary.midButton,secondary.rightButton,secondary.time,secondary.clicked_name,p_port_5.started,p_port_5.stopped,kb_end_practice.keys,kb_end_practice.rt,participant,session,group,age,sex,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
stimoli/02.subtle/JF2_Happiness.mp4,happy,subtle,femmina,6,9,1646,926,14,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,33,33,13,,,0.1371288999216631,1853.9255821000552,0.1444027000106871,0.0008053999627009034,0.0008053999627009034,1863.3539895000868,1863.3539895000868,0.009660299983806908,152.0,21.0,1,0,0,6.4856397999683395,'click_1',1.309998333454132e-05,1869.8402802000055,0.008636899990960956,,0.0022827000357210636,0.0022827000357210636,1870.3430276999716,1870.3430276999716,1870.3430276999716,0.0113936000270769,114.0,75.0,1,0,0,1.2467974999453872,'click_2',1.279998105019331e-05,0.008776500006206334,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/02.subtle/JM2_Neutral.mp4,neutral,subtle,maschio,8,10,1646,926,28,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,34,34,27,,,0.13072600006125867,1873.2194624000695,0.13794420007616282,0.000685199978761375,0.000685199978761375,1884.1721818000078,1884.1721818000078,0.009686600067652762,-132.0,-20.0,1,0,0,1.2767859000014141,'click_1',1.27000967040658e-05,1885.449803100084,0.009067700011655688,,0.002753300010226667,0.002753300010226667,1885.9527938000392,1885.9527938000392,1885.9527938000392,0.01207690010778606,-122.0,-21.0,1,0,0,1.0855121000204235,'click_2',1.3499986380338669e-05,0.00874010007828474,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/02.subtle/JF1_Anger.mp4,angry,subtle,femmina,5,10,1646,926,5,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,35,35,4,,,0.13675429997965693,1888.6739241000032,0.14413000002969056,0.0008194000693038106,0.0008194000693038106,1899.4298196000746,1899.4298196000746,0.009675499983131886,-81.0,-119.0,1,0,0,1.537849900079891,'click_1',1.3199984095990658e-05,1900.9685243000276,0.008949999930337071,,0.0024674999294802547,0.0024674999294802547,1901.4712578000035,1901.4712578000035,1901.4712578000035,0.011707999976351857,-18.0,93.0,1,0,0,1.065476099960506,'click_2',1.3899989426136017e-05,0.009035900002345443,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/01.full/F01-Joy-Face Forward.mp4,happy,full,femmina,1,6,720,576,41,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,36,36,40,,,0.134483200032264,1904.1702233999968,0.1419395999982953,0.0007714000530540943,0.0007714000530540943,1910.121918000048,1910.121918000048,0.009697700035758317,123.0,73.0,1,0,0,1.377582099987194,'click_1',1.6999896615743637e-05,1911.5000197000336,0.008624699898064137,,0.0020155999809503555,0.0020155999809503555,1912.0026642000303,1912.0026642000303,1912.0026642000303,0.01127179991453886,104.0,-26.0,1,0,0,0.8546643001027405,'click_2',1.3499986380338669e-05,0.008814099943265319,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/01.full/M03-Surprise-Face Forward.mp4,surprised,full,maschio,4,6,720,576,52,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,37,37,51,,,0.13468259992077947,1914.4911263000686,0.14223709993530065,0.0008328000549226999,0.0008328000549226999,1920.442717500031,1920.442717500031,0.00972840003669262,36.0,-135.0,1,0,0,1.508029600023292,'click_1',1.279998105019331e-05,1921.9514667000622,0.008790199994109571,,0.002249899902381003,0.002249899902381003,1922.4542035000632,1922.4542035000632,1922.4542035000632,0.011552799958735704,25.0,-129.0,1,0,0,1.3066720999777317,'click_2',1.2999982573091984e-05,0.009060000069439411,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/02.subtle/JF2_Neutral.mp4,neutral,subtle,femmina,6,9,1646,926,26,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,38,38,25,,,0.1382603000383824,1925.3977900000755,0.14547280000988394,0.0006605000235140324,0.0006605000235140324,1934.834961000015,1934.834961000015,0.009823600063100457,-81.0,117.0,1,0,0,1.598692699917592,'click_1',1.379998866468668e-05,1936.4341648999834,0.008901399909518659,,0.0026067999424412847,0.0026067999424412847,1936.9371537000407,1936.9371537000407,1936.9371537000407,0.012000499991700053,-79.0,119.0,1,0,0,1.749223200022243,'click_2',1.3899989426136017e-05,0.009104799944907427,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/01.full/M02-Fear-Face Forward.mp4,fear,full,maschio,3,6,720,576,31,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,39,39,30,,,0.13393759995233268,1940.3191281000618,0.14125280000735074,0.0008518000831827521,0.0008518000831827521,1946.2712226000149,1946.2712226000149,0.009817600017413497,-81.0,-126.0,1,0,0,3.830929199932143,'click_1',1.7900019884109497e-05,1950.1028025000123,0.008825200027786195,,0.0027534000109881163,0.0027534000109881163,1950.6058786000358,1950.6058786000358,1950.6058786000358,0.011941100005060434,18.0,-96.0,1,0,0,0.864349800045602,'click_2',1.300009898841381e-05,0.008665700093843043,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/01.full/F01-Surprise-Face Forward.mp4,surprised,full,femmina,1,6,720,576,49,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,40,40,48,,,0.13398510008119047,1953.103120099986,0.14123210008256137,0.0006715001072734594,0.0006715001072734594,1959.0559070999734,1959.0559070999734,0.00987800001166761,26.0,-149.0,1,0,0,2.4933608000865206,'click_1',1.3499986380338669e-05,1961.5496743000112,0.008766799932345748,,0.002427099971100688,0.002427099971100688,1962.0526268000249,1962.0526268000249,1962.0526268000249,0.011760299908928573,54.0,-75.0,1,0,0,0.7940412999596447,'click_2',1.379998866468668e-05,0.008874999941326678,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/01.full/F03-Disgust-Face Forward.mp4,disgusted,full,femmina,2,6,720,576,38,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,41,41,37,,,0.13390679995063692,1964.479477600078,0.14133429992944002,0.0006633999291807413,0.0006633999291807413,1970.4318061000668,1970.4318061000668,0.009876700001768768,-116.0,78.0,1,0,0,4.555854600039311,'click_1',1.3599987141788006e-05,1974.9880781000247,0.008728499989956617,,0.0023634000681340694,0.0023634000681340694,1975.490869399975,1975.490869399975,1975.490869399975,0.011522200074978173,-120.0,76.0,1,0,0,1.7494880000595003,'click_2',1.3699987903237343e-05,0.008735900046303868,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/02.subtle/JF2_Anger.mp4,angry,subtle,femmina,6,9,1646,926,6,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,42,42,5,,,0.13775240001268685,1978.8770266000647,0.14505140006076545,0.0007453999714925885,0.0007453999714925885,1988.3054537000135,1988.3054537000135,0.009863300016149879,-29.0,137.0,1,0,0,1.4074248999822885,'click_1',1.279998105019331e-05,1989.713407500065,0.008767799939960241,,0.002453999943099916,0.002453999943099916,1990.2163312999764,1990.2163312999764,1990.2163312999764,0.011696500005200505,-105.0,-20.0,1,0,0,4.917707499931566,'click_2',1.379998866468668e-05,0.008768299943767488,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/02.subtle/JM2_Sadness.mp4,sad,subtle,maschio,8,10,1646,926,20,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,43,43,19,,,0.135507500031963,1996.7678349000635,0.14231349993497133,0.000722200027666986,0.000722200027666986,2007.3261195999803,2007.3261195999803,0.009815500001423061,-31.0,-140.0,1,0,0,10.801104499958456,'click_1',1.309998333454132e-05,2018.1277691000141,0.008844099938869476,,0.002364999963901937,0.002364999963901937,2018.6308128000237,2018.6308128000237,2018.6308128000237,0.011912799905985594,-21.0,-142.0,1,0,0,2.664406399941072,'click_2',1.3699987903237343e-05,0.009078999981284142,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
stimoli/01.full/M03-Neutral-Face Forward.mp4,neutral,full,maschio,4,6,720,576,56,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,0,44,44,55,,,0.13392490008845925,2022.927914400003,0.14147859998047352,0.0006715999916195869,0.0006715999916195869,2028.8824953000294,2028.8824953000294,0.009709500009194016,-4.0,0.0,1,0,0,0.8039025000762194,'click_1',1.4100107364356518e-05,2029.687078100047,0.008983800071291625,,0.002446300000883639,0.002446300000883639,2030.189711800078,2030.189711800078,2030.189711800078,0.011628400068730116,0.0,0.0,1,0,0,0.6030415999703109,'click_2',1.3199984095990658e-05,0.008729900000616908,,,14,001,control,22,m,16,1,ale_ila,2024-04-05_10h15.59.193,CPO_EEG,2022.2.1,99.62590480161536,
